config	context	policy	criterion	score	code_pass	code_total
C0_5+web	ctx-H	P3	C1_content_quality	5	11	12
C0_5+web	ctx-H	P3	C2_contextual_adaptation	5	11	12
C0_5+web	ctx-H	P3	C3_evidence_citation	5	11	12
C0_5+web	ctx-H	P3	C4_implementability	5	11	12
C0_5+web	ctx-H	P3	C5_regulatory_alignment	5	11	12
C0_5+web	ctx-H	P3	C6_source_attribution	4	11	12
C0_5+web	ctx-H	P3	C7_resource_consideration	5	11	12
C0_5+web	ctx-H	P2	C1_content_quality	5	11	12
C0_5+web	ctx-H	P2	C2_contextual_adaptation	5	11	12
C0_5+web	ctx-H	P2	C3_evidence_citation	5	11	12
C0_5+web	ctx-H	P2	C4_implementability	4	11	12
C0_5+web	ctx-H	P2	C5_regulatory_alignment	5	11	12
C0_5+web	ctx-H	P2	C6_source_attribution	4	11	12
C0_5+web	ctx-H	P2	C7_resource_consideration	4	11	12
C0_5+web	ctx-H	P4	C1_content_quality	5	11	12
C0_5+web	ctx-H	P4	C2_contextual_adaptation	5	11	12
C0_5+web	ctx-H	P4	C3_evidence_citation	5	11	12
C0_5+web	ctx-H	P4	C4_implementability	4	11	12
C0_5+web	ctx-H	P4	C5_regulatory_alignment	5	11	12
C0_5+web	ctx-H	P4	C6_source_attribution	5	11	12
C0_5+web	ctx-H	P4	C7_resource_consideration	4	11	12
C0_5+web	ctx-H	P1	C1_content_quality	5	11	12
C0_5+web	ctx-H	P1	C2_contextual_adaptation	5	11	12
C0_5+web	ctx-H	P1	C3_evidence_citation	5	11	12
C0_5+web	ctx-H	P1	C4_implementability	4	11	12
C0_5+web	ctx-H	P1	C5_regulatory_alignment	5	11	12
C0_5+web	ctx-H	P1	C6_source_attribution	5	11	12
C0_5+web	ctx-H	P1	C7_resource_consideration	4	11	12
C2b	ctx-M	P5	C1_content_quality	4	11	12
C2b	ctx-M	P5	C2_contextual_adaptation	5	11	12
C2b	ctx-M	P5	C3_evidence_citation	3	11	12
C2b	ctx-M	P5	C4_implementability	5	11	12
C2b	ctx-M	P5	C5_regulatory_alignment	3	11	12
C2b	ctx-M	P5	C6_source_attribution	3	11	12
C2b	ctx-M	P5	C7_resource_consideration	2	11	12
C2b	ctx-M	P3	C1_content_quality	4	11	12
C2b	ctx-M	P3	C2_contextual_adaptation	5	11	12
C2b	ctx-M	P3	C3_evidence_citation	3	11	12
C2b	ctx-M	P3	C4_implementability	4	11	12
C2b	ctx-M	P3	C5_regulatory_alignment	3	11	12
C2b	ctx-M	P3	C6_source_attribution	2	11	12
C2b	ctx-M	P3	C7_resource_consideration	1	11	12
C2b	ctx-M	P2	C1_content_quality	3	11	12
C2b	ctx-M	P2	C2_contextual_adaptation	4	11	12
C2b	ctx-M	P2	C3_evidence_citation	3	11	12
C2b	ctx-M	P2	C4_implementability	4	11	12
C2b	ctx-M	P2	C5_regulatory_alignment	3	11	12
C2b	ctx-M	P2	C6_source_attribution	2	11	12
C2b	ctx-M	P2	C7_resource_consideration		11	12
C2b	ctx-M	P4	C1_content_quality	4	11	12
C2b	ctx-M	P4	C2_contextual_adaptation	5	11	12
C2b	ctx-M	P4	C3_evidence_citation	4	11	12
C2b	ctx-M	P4	C4_implementability	4	11	12
C2b	ctx-M	P4	C5_regulatory_alignment	4	11	12
C2b	ctx-M	P4	C6_source_attribution	2	11	12
C2b	ctx-M	P4	C7_resource_consideration		11	12
C2b	ctx-M	P1	C1_content_quality	4	9	12
C2b	ctx-M	P1	C2_contextual_adaptation	4	9	12
C2b	ctx-M	P1	C3_evidence_citation	3	9	12
C2b	ctx-M	P1	C4_implementability	4	9	12
C2b	ctx-M	P1	C5_regulatory_alignment	2	9	12
C2b	ctx-M	P1	C6_source_attribution	1	9	12
C2b	ctx-M	P1	C7_resource_consideration	1	9	12
C2b	ctx-H	P5	C1_content_quality	4	11	12
C2b	ctx-H	P5	C2_contextual_adaptation	4	11	12
C2b	ctx-H	P5	C3_evidence_citation	4	11	12
C2b	ctx-H	P5	C4_implementability	3	11	12
C2b	ctx-H	P5	C5_regulatory_alignment	3	11	12
C2b	ctx-H	P5	C6_source_attribution	4	11	12
C2b	ctx-H	P5	C7_resource_consideration	2	11	12
C2b	ctx-H	P3	C1_content_quality	2	9	12
C2b	ctx-H	P3	C2_contextual_adaptation	4	9	12
C2b	ctx-H	P3	C3_evidence_citation	3	9	12
C2b	ctx-H	P3	C4_implementability	3	9	12
C2b	ctx-H	P3	C5_regulatory_alignment	3	9	12
C2b	ctx-H	P3	C6_source_attribution	2	9	12
C2b	ctx-H	P3	C7_resource_consideration	2	9	12
C2b	ctx-H	P2	C1_content_quality	4	11	12
C2b	ctx-H	P2	C2_contextual_adaptation	4	11	12
C2b	ctx-H	P2	C3_evidence_citation	3	11	12
C2b	ctx-H	P2	C4_implementability	3	11	12
C2b	ctx-H	P2	C5_regulatory_alignment	3	11	12
C2b	ctx-H	P2	C6_source_attribution	3	11	12
C2b	ctx-H	P2	C7_resource_consideration	3	11	12
C2b	ctx-H	P4	C1_content_quality	4	10	12
C2b	ctx-H	P4	C2_contextual_adaptation	4	10	12
C2b	ctx-H	P4	C3_evidence_citation	3	10	12
C2b	ctx-H	P4	C4_implementability	3	10	12
C2b	ctx-H	P4	C5_regulatory_alignment	3	10	12
C2b	ctx-H	P4	C6_source_attribution	2	10	12
C2b	ctx-H	P4	C7_resource_consideration	2	10	12
C2b	ctx-H	P1	C1_content_quality	3	11	12
C2b	ctx-H	P1	C2_contextual_adaptation	3	11	12
C2b	ctx-H	P1	C3_evidence_citation	3	11	12
C2b	ctx-H	P1	C4_implementability	3	11	12
C2b	ctx-H	P1	C5_regulatory_alignment	2	11	12
C2b	ctx-H	P1	C6_source_attribution	2	11	12
C2b	ctx-H	P1	C7_resource_consideration	1	11	12
C0+web	ctx-M	P5	C1_content_quality	4	12	12
C0+web	ctx-M	P5	C2_contextual_adaptation	5	12	12
C0+web	ctx-M	P5	C3_evidence_citation	4	12	12
C0+web	ctx-M	P5	C4_implementability	5	12	12
C0+web	ctx-M	P5	C5_regulatory_alignment	4	12	12
C0+web	ctx-M	P5	C6_source_attribution	4	12	12
C0+web	ctx-M	P5	C7_resource_consideration	2	12	12
C0+web	ctx-M	P3	C1_content_quality	4	12	12
C0+web	ctx-M	P3	C2_contextual_adaptation	5	12	12
C0+web	ctx-M	P3	C3_evidence_citation	4	12	12
C0+web	ctx-M	P3	C4_implementability	5	12	12
C0+web	ctx-M	P3	C5_regulatory_alignment	4	12	12
C0+web	ctx-M	P3	C6_source_attribution	5	12	12
C0+web	ctx-M	P3	C7_resource_consideration	2	12	12
C0+web	ctx-M	P2	C1_content_quality	4	12	12
C0+web	ctx-M	P2	C2_contextual_adaptation	5	12	12
C0+web	ctx-M	P2	C3_evidence_citation	4	12	12
C0+web	ctx-M	P2	C4_implementability	5	12	12
C0+web	ctx-M	P2	C5_regulatory_alignment	4	12	12
C0+web	ctx-M	P2	C6_source_attribution	4	12	12
C0+web	ctx-M	P2	C7_resource_consideration	2	12	12
C0+web	ctx-M	P4	C1_content_quality	4	12	12
C0+web	ctx-M	P4	C2_contextual_adaptation	5	12	12
C0+web	ctx-M	P4	C3_evidence_citation	4	12	12
C0+web	ctx-M	P4	C4_implementability	5	12	12
C0+web	ctx-M	P4	C5_regulatory_alignment	4	12	12
C0+web	ctx-M	P4	C6_source_attribution	4	12	12
C0+web	ctx-M	P4	C7_resource_consideration	2	12	12
C0+web	ctx-M	P1	C1_content_quality	4	12	12
C0+web	ctx-M	P1	C2_contextual_adaptation	4	12	12
C0+web	ctx-M	P1	C3_evidence_citation	4	12	12
C0+web	ctx-M	P1	C4_implementability	5	12	12
C0+web	ctx-M	P1	C5_regulatory_alignment	4	12	12
C0+web	ctx-M	P1	C6_source_attribution	5	12	12
C0+web	ctx-M	P1	C7_resource_consideration	2	12	12
C0+web	ctx-H	P5	C1_content_quality	4	11	12
C0+web	ctx-H	P5	C2_contextual_adaptation	4	11	12
C0+web	ctx-H	P5	C3_evidence_citation	4	11	12
C0+web	ctx-H	P5	C4_implementability	4	11	12
C0+web	ctx-H	P5	C5_regulatory_alignment	4	11	12
C0+web	ctx-H	P5	C6_source_attribution	5	11	12
C0+web	ctx-H	P5	C7_resource_consideration	2	11	12
C0+web	ctx-H	P3	C1_content_quality	4	12	12
C0+web	ctx-H	P3	C2_contextual_adaptation	4	12	12
C0+web	ctx-H	P3	C3_evidence_citation	4	12	12
C0+web	ctx-H	P3	C4_implementability	4	12	12
C0+web	ctx-H	P3	C5_regulatory_alignment	4	12	12
C0+web	ctx-H	P3	C6_source_attribution	5	12	12
C0+web	ctx-H	P3	C7_resource_consideration	2	12	12
C0+web	ctx-H	P2	C1_content_quality	4	12	12
C0+web	ctx-H	P2	C2_contextual_adaptation	4	12	12
C0+web	ctx-H	P2	C3_evidence_citation	4	12	12
C0+web	ctx-H	P2	C4_implementability	4	12	12
C0+web	ctx-H	P2	C5_regulatory_alignment	4	12	12
C0+web	ctx-H	P2	C6_source_attribution	4	12	12
C0+web	ctx-H	P2	C7_resource_consideration	2	12	12
C0+web	ctx-H	P4	C1_content_quality	4	12	12
C0+web	ctx-H	P4	C2_contextual_adaptation	4	12	12
C0+web	ctx-H	P4	C3_evidence_citation	4	12	12
C0+web	ctx-H	P4	C4_implementability	4	12	12
C0+web	ctx-H	P4	C5_regulatory_alignment	4	12	12
C0+web	ctx-H	P4	C6_source_attribution	4	12	12
C0+web	ctx-H	P4	C7_resource_consideration	2	12	12
C0+web	ctx-H	P1	C1_content_quality	4	12	12
C0+web	ctx-H	P1	C2_contextual_adaptation	4	12	12
C0+web	ctx-H	P1	C3_evidence_citation	4	12	12
C0+web	ctx-H	P1	C4_implementability	4	12	12
C0+web	ctx-H	P1	C5_regulatory_alignment	3	12	12
C0+web	ctx-H	P1	C6_source_attribution	5	12	12
C0+web	ctx-H	P1	C7_resource_consideration	2	12	12
C0	ctx-M	P5	C1_content_quality	4	12	12
C0	ctx-M	P5	C2_contextual_adaptation	5	12	12
C0	ctx-M	P5	C3_evidence_citation	4	12	12
C0	ctx-M	P5	C4_implementability	5	12	12
C0	ctx-M	P5	C5_regulatory_alignment	4	12	12
C0	ctx-M	P5	C6_source_attribution	4	12	12
C0	ctx-M	P5	C7_resource_consideration	2	12	12
C0	ctx-M	P3	C1_content_quality	4	12	12
C0	ctx-M	P3	C2_contextual_adaptation	5	12	12
C0	ctx-M	P3	C3_evidence_citation	4	12	12
C0	ctx-M	P3	C4_implementability	5	12	12
C0	ctx-M	P3	C5_regulatory_alignment	4	12	12
C0	ctx-M	P3	C6_source_attribution	4	12	12
C0	ctx-M	P3	C7_resource_consideration		12	12
C0	ctx-M	P2	C1_content_quality	5	12	12
C0	ctx-M	P2	C2_contextual_adaptation	5	12	12
C0	ctx-M	P2	C3_evidence_citation	4	12	12
C0	ctx-M	P2	C4_implementability	5	12	12
C0	ctx-M	P2	C5_regulatory_alignment	4	12	12
C0	ctx-M	P2	C6_source_attribution	4	12	12
C0	ctx-M	P2	C7_resource_consideration	2	12	12
C0	ctx-M	P4	C1_content_quality	4	12	12
C0	ctx-M	P4	C2_contextual_adaptation	5	12	12
C0	ctx-M	P4	C3_evidence_citation	4	12	12
C0	ctx-M	P4	C4_implementability	4	12	12
C0	ctx-M	P4	C5_regulatory_alignment	4	12	12
C0	ctx-M	P4	C6_source_attribution	4	12	12
C0	ctx-M	P4	C7_resource_consideration	2	12	12
C0	ctx-M	P1	C1_content_quality	4	12	12
C0	ctx-M	P1	C2_contextual_adaptation	5	12	12
C0	ctx-M	P1	C3_evidence_citation	4	12	12
C0	ctx-M	P1	C4_implementability	5	12	12
C0	ctx-M	P1	C5_regulatory_alignment	4	12	12
C0	ctx-M	P1	C6_source_attribution	4	12	12
C0	ctx-M	P1	C7_resource_consideration	2	12	12
C0	ctx-H	P5	C1_content_quality	4	12	12
C0	ctx-H	P5	C2_contextual_adaptation	4	12	12
C0	ctx-H	P5	C3_evidence_citation	3	12	12
C0	ctx-H	P5	C4_implementability	3	12	12
C0	ctx-H	P5	C5_regulatory_alignment	3	12	12
C0	ctx-H	P5	C6_source_attribution	4	12	12
C0	ctx-H	P5	C7_resource_consideration	2	12	12
C0	ctx-H	P3	C1_content_quality	4	12	12
C0	ctx-H	P3	C2_contextual_adaptation	4	12	12
C0	ctx-H	P3	C3_evidence_citation	4	12	12
C0	ctx-H	P3	C4_implementability	4	12	12
C0	ctx-H	P3	C5_regulatory_alignment	4	12	12
C0	ctx-H	P3	C6_source_attribution	5	12	12
C0	ctx-H	P3	C7_resource_consideration	2	12	12
C0	ctx-H	P2	C1_content_quality	4	11	12
C0	ctx-H	P2	C2_contextual_adaptation	4	11	12
C0	ctx-H	P2	C3_evidence_citation	4	11	12
C0	ctx-H	P2	C4_implementability	4	11	12
C0	ctx-H	P2	C5_regulatory_alignment	4	11	12
C0	ctx-H	P2	C6_source_attribution	4	11	12
C0	ctx-H	P2	C7_resource_consideration	2	11	12
C0	ctx-H	P4	C1_content_quality	4	12	12
C0	ctx-H	P4	C2_contextual_adaptation	4	12	12
C0	ctx-H	P4	C3_evidence_citation	3	12	12
C0	ctx-H	P4	C4_implementability	3	12	12
C0	ctx-H	P4	C5_regulatory_alignment	4	12	12
C0	ctx-H	P4	C6_source_attribution	4	12	12
C0	ctx-H	P4	C7_resource_consideration	2	12	12
C0	ctx-H	P1	C1_content_quality	4	11	12
C0	ctx-H	P1	C2_contextual_adaptation	5	11	12
C0	ctx-H	P1	C3_evidence_citation	2	11	12
C0	ctx-H	P1	C4_implementability	4	11	12
C0	ctx-H	P1	C5_regulatory_alignment	4	11	12
C0	ctx-H	P1	C6_source_attribution	5	11	12
C0	ctx-H	P1	C7_resource_consideration	2	11	12
C2	ctx-M	P5	C1_content_quality	3	10	12
C2	ctx-M	P5	C2_contextual_adaptation	5	10	12
C2	ctx-M	P5	C3_evidence_citation	5	10	12
C2	ctx-M	P5	C4_implementability	5	10	12
C2	ctx-M	P5	C5_regulatory_alignment	4	10	12
C2	ctx-M	P5	C6_source_attribution	5	10	12
C2	ctx-M	P5	C7_resource_consideration	2	10	12
C2	ctx-M	P3	C1_content_quality	5	11	12
C2	ctx-M	P3	C2_contextual_adaptation	5	11	12
C2	ctx-M	P3	C3_evidence_citation	4	11	12
C2	ctx-M	P3	C4_implementability	5	11	12
C2	ctx-M	P3	C5_regulatory_alignment	4	11	12
C2	ctx-M	P3	C6_source_attribution	4	11	12
C2	ctx-M	P3	C7_resource_consideration	1	11	12
C2	ctx-M	P2	C1_content_quality	5	11	12
C2	ctx-M	P2	C2_contextual_adaptation	5	11	12
C2	ctx-M	P2	C3_evidence_citation	4	11	12
C2	ctx-M	P2	C4_implementability	5	11	12
C2	ctx-M	P2	C5_regulatory_alignment	4	11	12
C2	ctx-M	P2	C6_source_attribution	4	11	12
C2	ctx-M	P2	C7_resource_consideration		11	12
C2	ctx-M	P4	C1_content_quality	5	11	12
C2	ctx-M	P4	C2_contextual_adaptation	5	11	12
C2	ctx-M	P4	C3_evidence_citation	4	11	12
C2	ctx-M	P4	C4_implementability	5	11	12
C2	ctx-M	P4	C5_regulatory_alignment	5	11	12
C2	ctx-M	P4	C6_source_attribution	3	11	12
C2	ctx-M	P4	C7_resource_consideration	2	11	12
C2	ctx-M	P1	C1_content_quality	4	11	12
C2	ctx-M	P1	C2_contextual_adaptation	5	11	12
C2	ctx-M	P1	C3_evidence_citation	4	11	12
C2	ctx-M	P1	C4_implementability	5	11	12
C2	ctx-M	P1	C5_regulatory_alignment	5	11	12
C2	ctx-M	P1	C6_source_attribution	4	11	12
C2	ctx-M	P1	C7_resource_consideration		11	12
C2	ctx-H	P5	C1_content_quality	5	11	12
C2	ctx-H	P5	C2_contextual_adaptation	5	11	12
C2	ctx-H	P5	C3_evidence_citation	4	11	12
C2	ctx-H	P5	C4_implementability	4	11	12
C2	ctx-H	P5	C5_regulatory_alignment	4	11	12
C2	ctx-H	P5	C6_source_attribution	5	11	12
C2	ctx-H	P5	C7_resource_consideration	4	11	12
C2	ctx-H	P3	C1_content_quality	5	11	12
C2	ctx-H	P3	C2_contextual_adaptation	5	11	12
C2	ctx-H	P3	C3_evidence_citation	4	11	12
C2	ctx-H	P3	C4_implementability	3	11	12
C2	ctx-H	P3	C5_regulatory_alignment	4	11	12
C2	ctx-H	P3	C6_source_attribution	4	11	12
C2	ctx-H	P3	C7_resource_consideration	2	11	12
C2	ctx-H	P2	C1_content_quality	4	11	12
C2	ctx-H	P2	C2_contextual_adaptation	5	11	12
C2	ctx-H	P2	C3_evidence_citation	4	11	12
C2	ctx-H	P2	C4_implementability	2	11	12
C2	ctx-H	P2	C5_regulatory_alignment	4	11	12
C2	ctx-H	P2	C6_source_attribution	4	11	12
C2	ctx-H	P2	C7_resource_consideration	2	11	12
C2	ctx-H	P4	C1_content_quality	5	11	12
C2	ctx-H	P4	C2_contextual_adaptation	5	11	12
C2	ctx-H	P4	C3_evidence_citation	4	11	12
C2	ctx-H	P4	C4_implementability	4	11	12
C2	ctx-H	P4	C5_regulatory_alignment	4	11	12
C2	ctx-H	P4	C6_source_attribution	4	11	12
C2	ctx-H	P4	C7_resource_consideration	4	11	12
C2	ctx-H	P1	C1_content_quality	5	11	12
C2	ctx-H	P1	C2_contextual_adaptation	5	11	12
C2	ctx-H	P1	C3_evidence_citation	4	11	12
C2	ctx-H	P1	C4_implementability	4	11	12
C2	ctx-H	P1	C5_regulatory_alignment	4	11	12
C2	ctx-H	P1	C6_source_attribution	4	11	12
C2	ctx-H	P1	C7_resource_consideration	3	11	12
C1	ctx-M	P5	C1_content_quality	5	12	12
C1	ctx-M	P5	C2_contextual_adaptation	5	12	12
C1	ctx-M	P5	C3_evidence_citation	4	12	12
C1	ctx-M	P5	C4_implementability	5	12	12
C1	ctx-M	P5	C5_regulatory_alignment	5	12	12
C1	ctx-M	P5	C6_source_attribution	4	12	12
C1	ctx-M	P5	C7_resource_consideration	1	12	12
C1	ctx-M	P3	C1_content_quality	4	12	12
C1	ctx-M	P3	C2_contextual_adaptation	5	12	12
C1	ctx-M	P3	C3_evidence_citation	4	12	12
C1	ctx-M	P3	C4_implementability	5	12	12
C1	ctx-M	P3	C5_regulatory_alignment	4	12	12
C1	ctx-M	P3	C6_source_attribution	4	12	12
C1	ctx-M	P3	C7_resource_consideration	1	12	12
C1	ctx-M	P2	C1_content_quality	4	12	12
C1	ctx-M	P2	C2_contextual_adaptation	5	12	12
C1	ctx-M	P2	C3_evidence_citation	4	12	12
C1	ctx-M	P2	C4_implementability	4	12	12
C1	ctx-M	P2	C5_regulatory_alignment	4	12	12
C1	ctx-M	P2	C6_source_attribution	4	12	12
C1	ctx-M	P2	C7_resource_consideration	1	12	12
C1	ctx-M	P4	C1_content_quality	4	12	12
C1	ctx-M	P4	C2_contextual_adaptation	5	12	12
C1	ctx-M	P4	C3_evidence_citation	4	12	12
C1	ctx-M	P4	C4_implementability	4	12	12
C1	ctx-M	P4	C5_regulatory_alignment	4	12	12
C1	ctx-M	P4	C6_source_attribution	4	12	12
C1	ctx-M	P4	C7_resource_consideration	2	12	12
C1	ctx-M	P1	C1_content_quality	4	12	12
C1	ctx-M	P1	C2_contextual_adaptation	5	12	12
C1	ctx-M	P1	C3_evidence_citation	4	12	12
C1	ctx-M	P1	C4_implementability	5	12	12
C1	ctx-M	P1	C5_regulatory_alignment	4	12	12
C1	ctx-M	P1	C6_source_attribution	4	12	12
C1	ctx-M	P1	C7_resource_consideration	1	12	12
C1	ctx-H	P5	C1_content_quality	4	12	12
C1	ctx-H	P5	C2_contextual_adaptation	4	12	12
C1	ctx-H	P5	C3_evidence_citation	4	12	12
C1	ctx-H	P5	C4_implementability	4	12	12
C1	ctx-H	P5	C5_regulatory_alignment	4	12	12
C1	ctx-H	P5	C6_source_attribution	4	12	12
C1	ctx-H	P5	C7_resource_consideration	2	12	12
C1	ctx-H	P3	C1_content_quality	3	12	12
C1	ctx-H	P3	C2_contextual_adaptation	4	12	12
C1	ctx-H	P3	C3_evidence_citation	3	12	12
C1	ctx-H	P3	C4_implementability	4	12	12
C1	ctx-H	P3	C5_regulatory_alignment	4	12	12
C1	ctx-H	P3	C6_source_attribution	4	12	12
C1	ctx-H	P3	C7_resource_consideration	2	12	12
C1	ctx-H	P2	C1_content_quality	4	12	12
C1	ctx-H	P2	C2_contextual_adaptation	4	12	12
C1	ctx-H	P2	C3_evidence_citation	4	12	12
C1	ctx-H	P2	C4_implementability	3	12	12
C1	ctx-H	P2	C5_regulatory_alignment	4	12	12
C1	ctx-H	P2	C6_source_attribution	3	12	12
C1	ctx-H	P2	C7_resource_consideration	2	12	12
C1	ctx-H	P4	C1_content_quality	4	12	12
C1	ctx-H	P4	C2_contextual_adaptation	4	12	12
C1	ctx-H	P4	C3_evidence_citation	4	12	12
C1	ctx-H	P4	C4_implementability	3	12	12
C1	ctx-H	P4	C5_regulatory_alignment	4	12	12
C1	ctx-H	P4	C6_source_attribution	3	12	12
C1	ctx-H	P4	C7_resource_consideration	2	12	12
C1	ctx-H	P1	C1_content_quality	4	12	12
C1	ctx-H	P1	C2_contextual_adaptation	4	12	12
C1	ctx-H	P1	C3_evidence_citation	3	12	12
C1	ctx-H	P1	C4_implementability	4	12	12
C1	ctx-H	P1	C5_regulatory_alignment	4	12	12
C1	ctx-H	P1	C6_source_attribution	4	12	12
C1	ctx-H	P1	C7_resource_consideration	2	12	12
